Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","279","Curaçao","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","5598.955388","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","2192960.002","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2253557.994","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","491727.793791","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","519540","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1403.55","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1486.68","X","Sources internationales sûres",""
"MK","Indicateurs macro","59","Égypte","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","3470000","X","Sources internationales sûres",""
"MK","Indicateurs macro","59","Égypte","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","4437400","X","Sources internationales sûres",""
"MK","Indicateurs macro","60","El Salvador","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","24979.19","X","Sources internationales sûres",""
"MK","Indicateurs macro","60","El Salvador","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","26117.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","225","Émirats arabes unis","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1416136.223925","X","Sources internationales sûres",""
"MK","Indicateurs macro","225","Émirats arabes unis","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1550584.747566","X","Sources internationales sûres",""
"MK","Indicateurs macro","58","Équateur","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","104295.862","X","Sources internationales sûres",""
"MK","Indicateurs macro","58","Équateur","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","107562.008","X","Sources internationales sûres",""
"MK","Indicateurs macro","178","Érythrée","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","28702.3","X","Sources internationales sûres",""
"MK","Indicateurs macro","178","Érythrée","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","30235.3","X","Sources internationales sûres",""
"MK","Indicateurs macro","203","Espagne","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1161867","X","Sources internationales sûres",""
"MK","Indicateurs macro","203","Espagne","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1204241","X","Sources internationales sûres",""
"MK","Indicateurs macro","63","Estonie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","23857.748","X","Sources internationales sûres",""
"MK","Indicateurs macro","63","Estonie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","25937.614","X","Sources internationales sûres",""
"MK","Indicateurs macro","209","Eswatini","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","59285.389793","X","Sources internationales sûres",""
"MK","Indicateurs macro","209","Eswatini","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","62474.087112","X","Sources internationales sûres",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","19542980","X","Sources internationales sûres",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","20611861","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1832785.962364","X","Sources internationales sûres",""
"MK","Indicateurs macro","238","Éthiopie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2200120.588249","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","92040416.388303","X","Sources internationales sûres",""
"MK","Indicateurs macro","185","Fédération de Russie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","104559040.232414","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","11065","X","Sources internationales sûres",""
"MK","Indicateurs macro","66","Fidji","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","11557.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","225933","X","Sources internationales sûres",""
"MK","Indicateurs macro","67","Finlande","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","233664","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","2297242","X","Sources internationales sûres",""
"MK","Indicateurs macro","68","France","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2360687","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","8668900","X","Sources internationales sûres",""
"MK","Indicateurs macro","74","Gabon","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","9439300","X","Sources internationales sûres",""
"MK","Indicateurs macro","75","Gambie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","70142.188245","X","Sources internationales sûres",""
"MK","Indicateurs macro","75","Gambie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","80649.249598","X","Sources internationales sûres",""
"MK","Indicateurs macro","73","Géorgie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","40761.663457","X","Sources internationales sûres",""
"MK","Indicateurs macro","73","Géorgie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","44599.342781","X","Sources internationales sûres",""
"MK","Indicateurs macro","81","Ghana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","256671.374729","X","Sources internationales sûres",""
"MK","Indicateurs macro","81","Ghana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","300596.054638","X","Sources internationales sûres",""
"MK","Indicateurs macro","84","Grèce","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","177151.885","X","Sources internationales sûres",""
"MK","Indicateurs macro","84","Grèce","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","179727.301","X","Sources internationales sûres",""
"MK","Indicateurs macro","86","Grenade","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","3039.351156","X","Sources internationales sûres",""
"MK","Indicateurs macro","86","Grenade","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","3155.479665","X","Sources internationales sûres",""
"MK","Indicateurs macro","85","Groenland","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","18664.1","X","Sources internationales sûres",""
"MK","Indicateurs macro","85","Groenland","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","19269.8","X","Sources internationales sûres",""
"MK","Indicateurs macro","89","Guatemala","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","526200.406193","X","Sources internationales sûres",""
"MK","Indicateurs macro","89","Guatemala","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","549789.977631","X","Sources internationales sûres",""
"MK","Indicateurs macro","90","Guinée","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","93833883.938327","X","Sources internationales sûres",""
"MK","Indicateurs macro","90","Guinée","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","98286378.055266","X","Sources internationales sûres",""
"MK","Indicateurs macro","61","Guinée équatoriale","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","7084543","X","Sources internationales sûres",""
"MK","Indicateurs macro","61","Guinée équatoriale","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","7375490.00021","X","Sources internationales sûres",""
"MK","Indicateurs macro","175","Guinée-Bissau","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","783989.395347","X","Sources internationales sûres",""
"MK","Indicateurs macro","175","Guinée-Bissau","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","767878.935307","X","Sources internationales sûres",""
"MK","Indicateurs macro","91","Guyana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","980498","X","Sources internationales sûres",""
"MK","Indicateurs macro","91","Guyana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","994472","X","Sources internationales sûres",""
"MK","Indicateurs macro","93","Haïti","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","551911","X","Sources internationales sûres",""
"MK","Indicateurs macro","93","Haïti","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","631829","X","Sources internationales sûres",""
"MK","Indicateurs macro","95","Honduras","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","543403","X","Sources internationales sûres",""
"MK","Indicateurs macro","95","Honduras","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","574243","X","Sources internationales sûres",""
"MK","Indicateurs macro","97","Hongrie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","39233430","X","Sources internationales sûres",""
"MK","Indicateurs macro","97","Hongrie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","43347041","X","Sources internationales sûres",""
"MK","Indicateurs macro","36","Îles Caïmanes","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","4294.0705","X","Sources internationales sûres",""
"MK","Indicateurs macro","36","Îles Caïmanes","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","4597.6172","X","Sources internationales sûres",""
"MK","Indicateurs macro","47","Îles Cook","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","486.41298","X","Sources internationales sûres",""
"MK","Indicateurs macro","47","Îles Cook","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","524.215273","X","Sources internationales sûres",""
"MK","Indicateurs macro","127","Îles Marshall","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","207.749821","X","Sources internationales sûres",""
"MK","Indicateurs macro","127","Îles Marshall","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","221.277954","X","Sources internationales sûres",""
"MK","Indicateurs macro","25","Îles Salomon","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","9589.055008","X","Sources internationales sûres",""
"MK","Indicateurs macro","25","Îles Salomon","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","10386.412357","X","Sources internationales sûres",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1022.37","X","Sources internationales sûres",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1113.18","X","Sources internationales sûres",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1207.33","X","Sources internationales sûres",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1248.645201","X","Sources internationales sûres",""
"MK","Indicateurs macro","100","Inde","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","170983040","X","Sources internationales sûres",""
